movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,combination
pirates of the caribbean: on stranger tides,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,rob marshall johnny depp sam claflin stephen graham action adventure fantasy
men in black 3,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,barry sonnenfeld will smith michael stuhlbarg nicole scherzinger action adventure comedy family fantasy sci-fi
the hobbit: the battle of the five armies,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,peter jackson aidan turner adam brown james nesbitt adventure fantasy
the amazing spider-man,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,marc webb emma stone andrew garfield chris zylka action adventure fantasy
robin hood,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,ridley scott mark addy william hurt scott grimes action adventure drama history
the hobbit: the desolation of smaug,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,peter jackson aidan turner adam brown james nesbitt adventure fantasy
the golden compass,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,chris weitz christopher lee eva green kristin scott thomas adventure family fantasy
king kong,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,peter jackson naomi watts thomas kretschmann evan parke action adventure drama romance
titanic,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,james cameron leonardo dicaprio kate winslet gloria stuart drama romance
captain america: civil war,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,anthony russo robert downey jr. scarlett johansson chris evans action adventure sci-fi
battleship,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,peter berg liam neeson alexander skarsgård tadanobu asano action adventure sci-fi thriller
jurassic world,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,colin trevorrow bryce dallas howard judy greer omar sy action adventure sci-fi thriller
skyfall,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,sam mendes albert finney helen mccrory rory kinnear action adventure thriller
spider-man 2,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,sam raimi j.k. simmons james franco kirsten dunst action adventure fantasy romance
iron man 3,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,shane black robert downey jr. jon favreau don cheadle action adventure sci-fi
alice in wonderland,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,tim burton johnny depp alan rickman anne hathaway adventure family fantasy
x-men: the last stand,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,brett ratner hugh jackman kelsey grammer daniel cudmore action adventure fantasy sci-fi thriller
monsters university,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,dan scanlon steve buscemi tyler labine sean hayes adventure animation comedy family fantasy
transformers: revenge of the fallen,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,michael bay glenn morshower kevin dunn ramon rodriguez action adventure sci-fi
transformers: age of extinction,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,michael bay bingbing li sophia myles kelsey grammer action adventure sci-fi
oz the great and powerful,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,sam raimi tim holmes mila kunis james franco adventure family fantasy
the amazing spider-man 2,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,marc webb emma stone andrew garfield b.j. novak action adventure fantasy sci-fi
tron: legacy,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,joseph kosinski jeff bridges olivia wilde james frain action adventure sci-fi
cars 2,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,john lasseter joe mantegna thomas kretschmann eddie izzard adventure animation comedy family sport
green lantern,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,martin campbell ryan reynolds temuera morrison taika waititi action adventure sci-fi
toy story 3,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,lee unkrich tom hanks john ratzenberger don rickles adventure animation comedy family fantasy
terminator salvation,McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,mcg christian bale bryce dallas howard common action adventure sci-fi
furious 7,James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,james wan jason statham paul walker vin diesel action crime thriller
world war z,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,marc forster peter capaldi brad pitt mireille enos action adventure horror sci-fi thriller
x-men: days of future past,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,bryan singer jennifer lawrence peter dinklage hugh jackman action adventure fantasy sci-fi thriller
star trek into darkness,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,j.j. abrams benedict cumberbatch bruce greenwood noel clarke action adventure sci-fi
jack the giant slayer,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,bryan singer eddie marsan ewen bremner ralph brown adventure fantasy
the great gatsby,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance,baz luhrmann leonardo dicaprio elizabeth debicki steve bisley drama romance
prince of persia: the sands of time,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,mike newell jake gyllenhaal richard coyle reece ritchie action adventure fantasy romance
pacific rim,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,guillermo del toro charlie hunnam clifton collins jr. larry joe campbell action adventure sci-fi
transformers: dark of the moon,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,michael bay glenn morshower lester speight kevin dunn action adventure sci-fi
indiana jones and the kingdom of the crystal skull,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,steven spielberg harrison ford ray winstone jim broadbent action adventure fantasy
the good dinosaur,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,peter sohn a.j. buckley jack mcgraw peter sohn adventure animation comedy family fantasy
brave,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,mark andrews kelly macdonald john ratzenberger julie walters adventure animation comedy family fantasy
star trek beyond,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,justin lin sofia boutella melissa roxburgh lydia wilson action adventure sci-fi thriller
wall·e,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,andrew stanton john ratzenberger fred willard jeff garlin adventure animation family sci-fi
rush hour 3,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,brett ratner tzi ma dana ivey noémie lenoir action comedy crime thriller
2012,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,roland emmerich oliver platt liam james tom mccarthy action adventure sci-fi
a christmas carol,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,robert zemeckis robin wright colin firth gary oldman animation drama family fantasy
jupiter ascending,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,lana wachowski channing tatum mila kunis eddie redmayne action adventure sci-fi
the legend of tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,david yates christoph waltz alexander skarsgård casper crump action adventure drama romance
"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,andrew adamson jim broadbent kiran shah shane rangi adventure family fantasy
x-men: apocalypse,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,bryan singer jennifer lawrence michael fassbender tye sheridan action adventure sci-fi
the dark knight,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,christopher nolan christian bale heath ledger morgan freeman action crime drama thriller
up,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,pete docter john ratzenberger delroy lindo jess harnell adventure animation comedy family
monsters vs. aliens,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,rob letterman amy poehler rainn wilson stephen colbert action adventure animation comedy family sci-fi
iron man,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,jon favreau robert downey jr. jeff bridges jon favreau action adventure sci-fi
hugo,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,martin scorsese chloë grace moretz christopher lee ray winstone adventure drama family mystery
wild wild west,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,barry sonnenfeld will smith salma hayek bai ling action comedy sci-fi western
the mummy: tomb of the dragon emperor,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,rob cohen jet li brendan fraser russell wong action adventure fantasy horror thriller
suicide squad,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,david ayer will smith robin atkin downes ike barinholtz action adventure comedy sci-fi
evan almighty,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,tom shadyac jimmy bennett morgan freeman steve carell comedy family fantasy
edge of tomorrow,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,doug liman tom cruise lara pulver noah taylor action adventure sci-fi
waterworld,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,kevin reynolds jeanne tripplehorn rick aviles zakes mokae action adventure sci-fi thriller
g.i. joe: the rise of cobra,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,stephen sommers joseph gordon-levitt dennis quaid leo howard action adventure sci-fi thriller
inside out,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,pete docter amy poehler mindy kaling phyllis smith adventure animation comedy drama family fantasy
the jungle book,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,jon favreau scarlett johansson bill murray garry shandling adventure drama family fantasy
iron man 2,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,jon favreau robert downey jr. scarlett johansson jon favreau action adventure sci-fi
snow white and the huntsman,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,rupert sanders chris hemsworth kristen stewart sam claflin action adventure drama fantasy
maleficent,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,robert stromberg angelina jolie pitt sharlto copley sam riley action adventure family fantasy romance
dawn of the planet of the apes,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,matt reeves gary oldman judy greer kodi smit-mcphee action adventure drama sci-fi
the lovers,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,roland joffé tamsin egerton alice englert bipasha basu action adventure romance sci-fi
47 ronin,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,carl rinsch keanu reeves cary-hiroyuki tagawa jin akanishi action adventure drama fantasy
captain america: the winter soldier,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,anthony russo scarlett johansson chris evans hayley atwell action adventure sci-fi
shrek forever after,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,mike mitchell jon hamm kathy griffin mary kay place adventure animation comedy family fantasy
tomorrowland,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,brad bird judy greer chris bauer thomas robinson action adventure family mystery sci-fi
big hero 6,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,don hall damon wayans jr. daniel henney abraham benrubi action adventure animation comedy drama family sci-fi
wreck-it ralph,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,rich moore jack mcbrayer sarah silverman joe lo truglio adventure animation comedy family sci-fi
the polar express,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,robert zemeckis tom hanks eddie deezen peter scolari adventure animation family fantasy
independence day: resurgence,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,roland emmerich vivica a. fox sela ward judd hirsch action adventure sci-fi
how to train your dragon,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,dean deblois gerard butler america ferrera craig ferguson adventure animation family fantasy
terminator 3: rise of the machines,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,jonathan mostow nick stahl m.c. gainey carolyn hennesy action sci-fi
guardians of the galaxy,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,james gunn bradley cooper vin diesel djimon hounsou action adventure sci-fi
interstellar,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,christopher nolan matthew mcconaughey anne hathaway mackenzie foy adventure drama sci-fi
inception,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,christopher nolan leonardo dicaprio tom hardy joseph gordon-levitt action adventure sci-fi thriller
godzilla resurgence,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,hideaki anno mark chinnery shin'ya tsukamoto atsuko maeda action adventure drama horror sci-fi
the hobbit: an unexpected journey,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,peter jackson aidan turner adam brown james nesbitt adventure fantasy
the fast and the furious,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,rob cohen paul walker vin diesel jordana brewster action crime thriller
the curious case of benjamin button,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,david fincher brad pitt jason flemyng julia ormond drama fantasy romance
x-men: first class,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,matthew vaughn jennifer lawrence michael fassbender oliver platt action adventure sci-fi
the hunger games: mockingjay - part 2,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,francis lawrence jennifer lawrence philip seymour hoffman josh hutcherson adventure sci-fi
the sorcerer's apprentice,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,jon turteltaub nicolas cage omar benson miller robert capron action adventure family fantasy
poseidon,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,wolfgang petersen jimmy bennett mike vogel andre braugher action adventure drama thriller
alice through the looking glass,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,james bobin johnny depp alan rickman anne hathaway adventure family fantasy
shrek the third,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,chris miller justin timberlake eric idle rupert everett adventure animation comedy family fantasy
warcraft,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,duncan jones dominic cooper callum rennie ruth negga action adventure fantasy
terminator genisys,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,alan taylor j.k. simmons emilia clarke matt smith action adventure sci-fi
the chronicles of narnia: the voyage of the dawn treader,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,michael apted bruce spence shane rangi laura brent adventure family fantasy
pearl harbor,Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,michael bay jennifer garner jaime king mako action drama history romance war
transformers,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,michael bay zack ward michael o'neill kevin dunn action adventure sci-fi
alexander,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,oliver stone anthony hopkins angelina jolie pitt brian blessed action adventure biography drama history romance war
harry potter and the order of the phoenix,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,david yates robert pattinson daniel radcliffe fiona shaw adventure family fantasy mystery
harry potter and the goblet of fire,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,mike newell robert pattinson daniel radcliffe rupert grint adventure family fantasy mystery
hancock,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,peter berg will smith charlize theron eddie marsan action drama
i am legend,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,francis lawrence will smith alice braga willow smith drama horror sci-fi
charlie and the chocolate factory,Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,tim burton johnny depp christopher lee david kelly adventure comedy family fantasy
ratatouille,Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,brad bird janeane garofalo john ratzenberger brian dennehy animation comedy family fantasy
batman begins,Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,christopher nolan christian bale liam neeson morgan freeman action adventure
madagascar: escape 2 africa,Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,eric darnell bernie mac jada pinkett smith cedric the entertainer action adventure animation comedy family
night at the museum: battle of the smithsonian,Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,shawn levy robin williams rami malek steve coogan adventure comedy family fantasy
x-men origins: wolverine,Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,gavin hood hugh jackman ryan reynolds dominic monaghan action adventure fantasy sci-fi thriller
the matrix revolutions,Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,lana wachowski essie davis collin chou nona gaye action sci-fi
frozen,Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,chris buck josh gad maurice lamarche livvy stubenrauch adventure animation comedy family fantasy musical
the matrix reloaded,Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,lana wachowski steve bastoni daniel bernhardt helmut bakaitis action sci-fi
thor: the dark world,Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,alan taylor chris hemsworth natalie portman anthony hopkins action adventure fantasy
mad max: fury road,George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,george miller tom hardy charlize theron zoë kravitz action adventure sci-fi thriller
angels & demons,Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,ron howard tom hanks ayelet zurer armin mueller-stahl mystery thriller
thor,Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,kenneth branagh chris hemsworth natalie portman anthony hopkins action adventure fantasy
bolt,Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,byron howard chloë grace moretz diedrich bader james lipton adventure animation comedy drama family
g-force,Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,hoyt yeatman kelli garner piper mackenzie harris niecy nash action adventure animation comedy family fantasy sci-fi
wrath of the titans,Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,jonathan liebesman liam neeson edgar ramírez lily james action adventure fantasy
dark shadows,Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,tim burton johnny depp chloë grace moretz christopher lee comedy fantasy horror
mission: impossible - rogue nation,Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,christopher mcquarrie tom cruise jeremy renner sean harris action adventure thriller
the wolfman,Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,joe johnston anthony hopkins simon merrells art malik drama fantasy horror thriller
the legend of tarzan,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,david yates christoph waltz alexander skarsgård casper crump action adventure drama romance
bee movie,Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,steve hickner matthew broderick oprah winfrey rip torn adventure animation comedy family
kung fu panda 2,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,jennifer yuh nelson angelina jolie pitt gary oldman mike bell action adventure animation comedy family
the last airbender,M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,m. night shyamalan seychelle gabriel noah ringer aasif mandvi action adventure family fantasy
mission: impossible iii,J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,j.j. abrams philip seymour hoffman tom cruise eddie marsan action adventure thriller
white house down,Roland Emmerich,Channing Tatum,Jake Weber,Matt Craven,Action Drama Thriller,roland emmerich channing tatum jake weber matt craven action drama thriller
mars needs moms,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,Action Adventure Animation Comedy Family Sci-Fi,simon wells elisabeth harnois dan fogler tom everett scott action adventure animation comedy family sci-fi
flushed away,David Bowers,Hugh Jackman,Kate Winslet,David Suchet,Adventure Animation Comedy Family,david bowers hugh jackman kate winslet david suchet adventure animation comedy family
pan,Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,joe wright hugh jackman cara delevingne nonso anozie adventure family fantasy
mr. peabody & sherman,Rob Minkoff,Ty Burrell,Zach Callison,Karan Brar,Adventure Animation Comedy Family Sci-Fi,rob minkoff ty burrell zach callison karan brar adventure animation comedy family sci-fi
troy,Wolfgang Petersen,Brad Pitt,Orlando Bloom,Julian Glover,Adventure,wolfgang petersen brad pitt orlando bloom julian glover adventure
madagascar 3: europe's most wanted,Eric Darnell,Jada Pinkett Smith,Martin Short,Cedric the Entertainer,Adventure Animation Comedy Family,eric darnell jada pinkett smith martin short cedric the entertainer adventure animation comedy family
die another day,Lee Tamahori,Toby Stephens,Colin Salmon,Rick Yune,Action Adventure Thriller,lee tamahori toby stephens colin salmon rick yune action adventure thriller
ghostbusters,Paul Feig,Ed Begley Jr.,Kate McKinnon,Zach Woods,Action Comedy Fantasy Sci-Fi,paul feig ed begley jr. kate mckinnon zach woods action comedy fantasy sci-fi
armageddon,Michael Bay,Bruce Willis,Steve Buscemi,Will Patton,Action Adventure Sci-Fi Thriller,michael bay bruce willis steve buscemi will patton action adventure sci-fi thriller
men in black ii,Barry Sonnenfeld,Will Smith,Rosario Dawson,Rip Torn,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,barry sonnenfeld will smith rosario dawson rip torn action adventure comedy family fantasy mystery sci-fi
beowulf,Robert Zemeckis,Robin Wright,Anthony Hopkins,Sebastian Roché,Action Adventure Animation Fantasy,robert zemeckis robin wright anthony hopkins sebastian roché action adventure animation fantasy
